Source,Date,Obsolescence Date,Business Name,Legal Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,EIN,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,SIC03,SIC03.Description,SIC04,SIC04.Description,SIC05,SIC05.Description,SIC06,SIC06.Description,SIC07,SIC07.Description,SIC08,SIC08.Description,SIC09,SIC09.Description,SIC10,SIC10.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,NAICS 5,NAICS 5 Description,NAICS 6,NAICS 6 Description,NAICS 7,NAICS 7 Description,NAICS 8,NAICS 8 Description,NAICS 9,NAICS 9 Description,NAICS 10,NAICS 10 Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2020 Revenue/Yr,2019 Revenue/Yr,2018 Revenue/Yr,2017 Revenue/Yr,2019 % Sales Growth,2018 % Sales Growth,2017 % Sales Growth,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2019 % Employee Growth,2018 % Employee Growth,2017 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Executive Department 1,Executive First Name 2,Executive Last Name 2,Executive Title 2,Executive Gender 2,Executive Department 2,Executive First Name 3,Executive Last Name 3,Executive Title 3,Executive Gender 3,Executive Department 3,Executive First Name 4,Executive Last Name 4,Executive Title 4,Executive Gender 4,Executive Department 4,Executive First Name 5,Executive Last Name 5,Executive Title 5,Executive Gender 5,Executive Department 5,Executive First Name 6,Executive Last Name 6,Executive Title 6,Executive Gender 6,Executive Department 6,Executive First Name 7,Executive Last Name 7,Executive Title 7,Executive Gender 7,Executive Department 7,Executive First Name 8,Executive Last Name 8,Executive Title 8,Executive Gender 8,Executive Department 8,Executive First Name 9,Executive Last Name 9,Executive Title 9,Executive Gender 9,Executive Department 9,Executive First Name 10,Executive Last Name 10,Executive Title 10,Executive Gender 10,Executive Department 10,Executive First Name 11,Executive Last Name 11,Executive Title 11,Executive Gender 11,Executive Department 11,Executive First Name 12,Executive Last Name 12,Executive Title 12,Executive Gender 12,Executive Department 12,Executive First Name 13,Executive Last Name 13,Executive Title 13,Executive Gender 13,Executive Department 13,Executive First Name 14,Executive Last Name 14,Executive Title 14,Executive Gender 14,Executive Department 14,Executive First Name 15,Executive Last Name 15,Executive Title 15,Executive Gender 15,Executive Department 15,Executive First Name 16,Executive Last Name 16,Executive Title 16,Executive Gender 16,Executive Department 16,Executive First Name 17,Executive Last Name 17,Executive Title 17,Executive Gender 17,Executive Department 17,Executive First Name 18,Executive Last Name 18,Executive Title 18,Executive Gender 18,Executive Department 18,Executive First Name 19,Executive Last Name 19,Executive Title 19,Executive Gender 19,Executive Department 19,Executive First Name 20,Executive Last Name 20,Executive Title 20,Executive Gender 20,Executive Department 20,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business,Franchise Type,Holding Parent Name,Source ,
"AtoZDatabases","03/03/2022","09/03/2022","Station Cafe","","108 King William","108","","King Willi","","","San Antonio","TX","78204","1311","Lee Marvin","Lee","","Marvin","Owner","Unknown","25","","$1,725,000","108 King William","108","","King Willi","","","San Antonio","TX","78204","1311","(210) 444-2200","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4172614","-98.4904865","","Restaurants","","","No","5812001","Restaurants","5541001","Gas Stations","5813001","Alcoholic Beverage Drinking Places","5812009","Cafes","5812025","Carry-Out Food","5812003","Pizza","5813011","Bars & Lounges","5812010","Sandwiches & Subs","","","","","722511","Full-Service Restaurants","457120","Other Gasoline Stations","722410","Drinking Places (Alcoholic Beverages)","722513","Limited-Service Restaurants","","","","","","","","","","","","","No","10 to 24","Private","Yes","5000 to 9999","www.thestationsa.com","No","2016","","","","87","3568770","3568770","4282524","4710776","0.0","-16.67","-9.09","25","25","30","33","0.0","-16.67","-9.09","Lee","Marvin","Owner","Unknown","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$25000 to $99999","$20000 to $49999","$25000 to $99999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$5000 to $9999","$20000 to $49999","11140006727531","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","Splash Bar","","905 Nogalitos St","905","","Nogalitos","St","","San Antonio","TX","78204","1838","Hasam Masbah","Hasam","","Masbah","Owner","Unknown","23","","$1,717,000","905 Nogalitos St","905","","Nogalitos","St","","San Antonio","TX","78204","1838","(210) 227-7579","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4041088","-98.5091898","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5813011","Bars & Lounges","5812016","Bar & Grills","","","","","","","","","","","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","722513","Limited-Service Restaurants","","","","","","","","","","","","","","","No","10 to 24","Private","Yes","5000 to 9999","","No","2010","","","","95","3283268","3283268","2855016","3140517","0.0","15.0","-9.09","23","23","20","22","0.0","15.0","-9.09","Hasam","Masbah","Owner","Unknown","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$25000 to $99999","$20000 to $49999","$15000 to $24999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$5000 to $9999","$20000 to $49999","11132549980594","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","El Mercado Snack Bar","","514 W Commerce St","514","W","Commerce","St","","San Antonio","TX","78207","8102","Isabel Vela","Isabel","","Vela","Owner","Female","19","","$1,234,000","514 W Commerce St","514","W","Commerce","St","","San Antonio","TX","78207","8102","(210) 299-1330","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4254256","-98.4991543","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","7999001","Amusement & Recreation Services","5812015","American Restaurants","5813011","Bars & Lounges","5812010","Sandwiches & Subs","5812011","Mexican Restaurants","7999051","Concessionaires","5812033","Snack Bars","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","711219","Other Spectator Sports","722513","Limited-Service Restaurants","713990","All Other Amusement and Recreation Industries","722515","Snack and Nonalcoholic Beverage Bars","","","","","","","","","No","10 to 24","Private","Yes","5000 to 9999","","Yes","1996","","","","93","2712265","2712265","2569514","1855760","0.0","5.56","38.46","19","19","18","13","0.0","5.56","38.46","Isabel","Vela","Owner","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$25000 to $99999","$7500 to $19999","$15000 to $24999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$5000 to $9999","$20000 to $49999","11132554593606","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","Pit Stop Bar-B-Q Plus","","254 Hobart St","254","","Hobart","St","","San Antonio","TX","78237","3242","Timothy Edwards","Timothy","","Edwards","Owner","Male","19","","$1,234,000","254 Hobart St","254","","Hobart","St","","San Antonio","TX","78237","3242","(210) 438-5405","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4140364","-98.5873387","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5813011","Bars & Lounges","5812022","Barbecue Restaurants","","","","","","","","","","","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","No","10 to 24","Private","Yes","5000 to 9999","","No","2005","","","","93","2997767","2997767","3711521","3140517","0.0","-19.23","18.18","21","21","26","22","0.0","-19.23","18.18","Timothy","Edwards","Owner","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$25000 to $99999","$7500 to $19999","$15000 to $24999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$5000 to $9999","$20000 to $49999","11132553859042","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","Maggies Tamales & Barbacoa","","5721 W Commerce St","5721","W","Commerce","St","","San Antonio","TX","78237","1232","Jonatan Loera","Jonatan","","Loera","Principal","Male","19","","$1,234,000","5721 W Commerce St","5721","W","Commerce","St","","San Antonio","TX","78237","1232","(210) 431-5900","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.433059","-98.572732","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5813011","Bars & Lounges","5812011","Mexican Restaurants","","","","","","","","","","","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","","","","","","","","","","","","","","","","","No","10 to 24","Private","Yes","5000 to 9999","","No","2010","","","","93","2712265","2712265","2284013","2997767","0.0","18.75","-23.81","19","19","16","21","0.0","18.75","-23.81","Jonatan","Loera","Principal","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$25000 to $99999","$7500 to $19999","$15000 to $24999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$5000 to $9999","$20000 to $49999","11132548903515","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","Rib House BBQ Restaurant","","757 Enrique M Barrera Pkwy","757","","Enrique M ","Pkwy","","San Antonio","TX","78237","2309","Irene Taylor","Irene","","Taylor","Owner","Female","8","","$1,097,000","PO Box 37596","37596","","PO Box","","","San Antonio","TX","78237","0596","(210) 433-1916","(210) 432-4204","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4253474","-98.5767863","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5813011","Bars & Lounges","5812027","Chicken Restaurants","5812022","Barbecue Restaurants","","","","","","","","","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","722513","Limited-Service Restaurants","","","","","","","","","","","","","","","No","5 to 9","Private","Yes","1000 to 4999","","Yes","1992","","","","90","428252","428252","142751","142751","0.0","200.0","0.0","3","3","1","1","0.0","200.0","0.0","Irene","Taylor","Owner","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$5000 to $14999","$2500 to $7499","$7500 to $14999","$2000 to $4999","$10000 to $24999","$10000 to $24999","$2000 to $4999","$7500 to $19999","11132576480069","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","La Tuna","","100 Probandt Apt 1","100","","Probandt","","","San Antonio","TX","78204","1783","Mark Dortman","Mark","","Dortman","Owner","Male","11","","$932,000","100 Probandt Apt 1","100","","Probandt","","","San Antonio","TX","78204","1783","(210) 224-8862","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4081152","-98.4955232","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5812015","American Restaurants","5813011","Bars & Lounges","5812016","Bar & Grills","5812114","Tex-Mex Restaurants","","","","","","","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","722513","Limited-Service Restaurants","","","","","","","","","","","","","","","No","5 to 9","Private","Yes","1000 to 4999","www.latunagrill.com","No","2010","","","","93","713754","713754","571003","428252","0.0","25.0","33.33","5","5","4","3","0.0","25.0","33.33","Mark","Dortman","Owner","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$15000 to $24999","$7500 to $19999","$7500 to $14999","$5000 to $9999","$25000 to $99999","$10000 to $24999","$2000 to $4999","$20000 to $49999","11132550956895","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","La Margarita Restaurant & Oyster Bar","La Margarita Rstrnt & Oyster","120 Produce Row","120","","Produce","Row","","San Antonio","TX","78207","4552","Edilberto Elizondo","Edilberto","","Elizondo","Manager","Male","23","","$691,000","120 Produce Row","120","","Produce","Row","","San Antonio","TX","78207","4552","(210) 227-7140","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.424941","-98.499032","","Restaurant Management","","","No","8741006","Restaurant Management","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5812006","Caterers","5813011","Bars & Lounges","5812011","Mexican Restaurants","5812019","Seafood Restaurants","5812007","Family Dining Restaurants","","","","","561110","Office Administrative Services","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","722320","Caterers","","","","","","","","","","","","","No","25 to 99","Private","Yes","1000 to 4999","www.lamargarita.com","No","2010","","","","95","2123453","2123453","2400425","2492749","0.0","-11.54","-3.7","23","23","26","27","0.0","-11.54","-3.7","Edilberto","Elizondo","Manager","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","","$20000 to $49999","","$10000 to $24999","$10000 to $24999","$25000 to $99999","$10000 to $24999","$20000 to $49999","11132552261491","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","Drink Texas Bar","","215 N San Saba Ste 301","215","N","San Saba","","","San Antonio","TX","78207","3164","David Beswick","David","","Beswick","Owner","Male","9","","$685,000","215 N San Saba Ste 301","215","N","San Saba","","","San Antonio","TX","78207","3164","(210) 224-1031","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4270555","-98.5004595","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5812012","Coffee Shops","5499008","Coffee & Tea Stores","5813011","Bars & Lounges","","","","","","","","","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","722513","Limited-Service Restaurants","445298","All Other Specialty Food Retailers","","","","","","","","","","","","","No","5 to 9","Private","Yes","1000 to 4999","www.drinktexas.com","No","2010","","","","90","1284757","1284757","1284757","999256","0.0","0.0","28.57","9","9","9","7","0.0","0.0","28.57","David","Beswick","Owner","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$5000 to $14999","$7500 to $19999","$7500 to $14999","$5000 to $9999","$10000 to $24999","$10000 to $24999","$2000 to $4999","$7500 to $19999","11132544295226","No","","","AtoZDatabases",
"AtoZDatabases","03/03/2022","09/03/2022","M & I Meat Market & Grocery","","5106 W Commerce St","5106","W","Commerce","St","","San Antonio","TX","78237","1554","Martine Bijarro","Martine","","Bijarro","Owner","Female","9","","$685,000","5106 W Commerce St","5106","W","Commerce","St","","San Antonio","TX","78237","1554","(210) 435-2507","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4313403091475","-98.5607796277923","","Restaurants","","","No","5812001","Restaurants","5813001","Alcoholic Beverage Drinking Places","5421001","Meat & Seafood Markets","5421002","Meat Markets","5813011","Bars & Lounges","5812010","Sandwiches & Subs","5812011","Mexican Restaurants","5812022","Barbecue Restaurants","","","","","722511","Full-Service Restaurants","722410","Drinking Places (Alcoholic Beverages)","445240","Meat Retailers","722513","Limited-Service Restaurants","","","","","","","","","","","","","No","5 to 9","Private","Yes","1000 to 4999","","Yes","1992","","","","90","428252","428252","142751","285502","0.0","200.0","-50.0","3","3","1","2","0.0","200.0","-50.0","Martine","Bijarro","Owner","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","$5000 to $14999","$7500 to $19999","$7500 to $14999","$5000 to $9999","$10000 to $24999","$10000 to $24999","$2000 to $4999","$7500 to $19999","11132554591049","No","","","AtoZDatabases",
