Source,Date,Obsolescence Date,Business Name,Legal Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,EIN,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,SIC03,SIC03.Description,SIC04,SIC04.Description,SIC05,SIC05.Description,SIC06,SIC06.Description,SIC07,SIC07.Description,SIC08,SIC08.Description,SIC09,SIC09.Description,SIC10,SIC10.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,NAICS 5,NAICS 5 Description,NAICS 6,NAICS 6 Description,NAICS 7,NAICS 7 Description,NAICS 8,NAICS 8 Description,NAICS 9,NAICS 9 Description,NAICS 10,NAICS 10 Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2020 Revenue/Yr,2019 Revenue/Yr,2018 Revenue/Yr,2017 Revenue/Yr,2019 % Sales Growth,2018 % Sales Growth,2017 % Sales Growth,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2019 % Employee Growth,2018 % Employee Growth,2017 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Executive Department 1,Executive First Name 2,Executive Last Name 2,Executive Title 2,Executive Gender 2,Executive Department 2,Executive First Name 3,Executive Last Name 3,Executive Title 3,Executive Gender 3,Executive Department 3,Executive First Name 4,Executive Last Name 4,Executive Title 4,Executive Gender 4,Executive Department 4,Executive First Name 5,Executive Last Name 5,Executive Title 5,Executive Gender 5,Executive Department 5,Executive First Name 6,Executive Last Name 6,Executive Title 6,Executive Gender 6,Executive Department 6,Executive First Name 7,Executive Last Name 7,Executive Title 7,Executive Gender 7,Executive Department 7,Executive First Name 8,Executive Last Name 8,Executive Title 8,Executive Gender 8,Executive Department 8,Executive First Name 9,Executive Last Name 9,Executive Title 9,Executive Gender 9,Executive Department 9,Executive First Name 10,Executive Last Name 10,Executive Title 10,Executive Gender 10,Executive Department 10,Executive First Name 11,Executive Last Name 11,Executive Title 11,Executive Gender 11,Executive Department 11,Executive First Name 12,Executive Last Name 12,Executive Title 12,Executive Gender 12,Executive Department 12,Executive First Name 13,Executive Last Name 13,Executive Title 13,Executive Gender 13,Executive Department 13,Executive First Name 14,Executive Last Name 14,Executive Title 14,Executive Gender 14,Executive Department 14,Executive First Name 15,Executive Last Name 15,Executive Title 15,Executive Gender 15,Executive Department 15,Executive First Name 16,Executive Last Name 16,Executive Title 16,Executive Gender 16,Executive Department 16,Executive First Name 17,Executive Last Name 17,Executive Title 17,Executive Gender 17,Executive Department 17,Executive First Name 18,Executive Last Name 18,Executive Title 18,Executive Gender 18,Executive Department 18,Executive First Name 19,Executive Last Name 19,Executive Title 19,Executive Gender 19,Executive Department 19,Executive First Name 20,Executive Last Name 20,Executive Title 20,Executive Gender 20,Executive Department 20,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business,Franchise Type,Holding Parent Name,Source ,
"AtoZDatabases","03/02/2022","09/02/2022","Dean Foods","Oak Farms Dairy","1314 Fredericksburg Rd","1314","","Fredericks","Rd","","San Antonio","TX","78201","5026","Waly Norwood","Waly","","Norwood","Other Contacts","Male","37","14,500","$21,044,000","1314 Fredericksburg Rd","1314","","Fredericks","Rd","","San Antonio","TX","78201","5026","(210) 732-1111","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.45768","-98.517675","","Dairy Products Wholesale (Except Dried or Canned)","Branch","","Yes","5143001","Dairy Products Wholesale (Except Dried or Canned)","2026001","Fluid Milk Production","5411001","Grocery Stores","","","","","","","","","","","","","","","424430","Dairy Product (except Dried or Canned) Merchant Wholesalers","311511","Fluid Milk Manufacturing","445110","Supermarkets and Other Grocery (except Convenience) Stores","","","","","","","","","","","","","","","No","10 to 24","Public","No","10000 to 49999","www.deanfoods.com","No","1925","","","","100","74674410","74674410","74674410","73085593","0.0","0.0","2.17","47","47","47","46","0.0","0.0","2.17","Waly","Norwood","Other Contacts","Male","Sales","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$5000 to $14999","$50000 to $99999","$25000 to $99999","$25000 to $99999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$50000 to $99999","11140011835111","No","Chain Location","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Surlean Foods","","1545 S San Marcos","1545","S","San Marcos","","","San Antonio","TX","78207","7090","Travis Holmes","Travis","","Holmes","Chief Technology Officer Chief","Male","308","308","$18,205,000","PO Box 831449","831449","","PO Box","","","San Antonio","TX","78283","1449","(210) 227-4370","(210) 226-4208","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4109477","-98.5111065","","Supermarkets","","","Yes","5411003","Supermarkets","5499001","Misc Food Stores","5421002","Meat Markets","2013001","Sausages & Other Prepared Meat Production","","","","","","","","","","","","","445110","Supermarkets and Other Grocery (except Convenience) Stores","445298","All Other Specialty Food Retailers","445240","Meat Retailers","311612","Meat Processed from Carcasses","","","","","","","","","","","","","No","100 to 499","Private","No","50000 or more","www.surleanfoods.com","No","1984","","","","100","67120053","67120053","67120053","63197453","0.0","0.0","6.21","308","308","308","290","0.0","0.0","6.21","Travis","Holmes","Chief Technology Officer Chief","Male","Administration & Operations","Daryl","Scott","President","Male","Administration & Operations","Hugo","Hernandez","Superintendent","Male","Production","Mike","Cannon","Executive Officer","Male","Administration & Operations","Melanie","Schulte","Executive Officer","Female","Administration & Operations","Terry","Black","Executive Officer","Unknown","Administration & Operations","Bill","McKenna","Executive Officer","Male","Administration & Operations","Chip","Rowland","Executive Officer","Male","Administration & Operations","Karrie","Menz","Executive Officer","Female","Administration & Operations","Natalie","Roesler","Executive Officer","Female","Administration & Operations","Ryan","Scott","Executive Officer","Unknown","Production","Harry","Spahn","Executive Officer","Male","Sales","Chad","Wilhite","Executive Officer","Male","Sales","Karen","Karl","Executive Officer","Female","Sales","Adrijana","Muhic","Executive Officer","Female","Strategic Planning & Business ","Clancy","Hall","Executive Officer","Male","Strategic Planning & Business ","Anar","Tanner","Controller","Male","Accounting & Finance","Arthur","Conway","Manager","Male","Administration & Operations","Brent","Robinson","Manager","Male","Administration & Operations","Chad","Briscoe","Manager","","Administration & Operations","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$25000 to $99999","$100000 or more","11132548718298","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Super Target","","4522 Fredericksburg Rd","4522","","Fredericks","Rd","","San Antonio","TX","78201","6521","Steven Mata","Steven","","Mata","Executive Officer","Male","115","368,000","$8,436,000","4522 Fredericksburg Rd","4522","","Fredericks","Rd","","San Antonio","TX","78201","6521","(210) 280-0000","N/A","(800) 591-3869","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4916608","-98.5508496","","Department Stores","Branch","","No","5311001","Department Stores","5411001","Grocery Stores","5812020","Delicatessens","5461001","Bakeries","5912003","Drug Stores","5963037","Household Products","5912005","Health Care Products Stores","7384001","Photofinishing Laboratories","5999005","Pet Food & Supply Stores","5712001","Furniture Stores","455110","Department Stores","445110","Supermarkets and Other Grocery (except Convenience) Stores","722513","Limited-Service Restaurants","311811","Retail Bakeries","456110","Pharmacies and Drug Retailers","459999","All Other Miscellaneous Retailers","812921","Photofinishing Laboratories (except One-Hour)","459910","Pet and Pet Supplies Retailers","449110","Furniture Retailers","","","No","25 to 99","Public","No","10000 to 49999","www.target.com","No","1902","","","","100","22808258","22808258","24791585","25783248","0.0","-8.0","-3.85","115","115","125","130","0.0","-8.0","-3.85","Steven","Mata","Executive Officer","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$100000 or more","$100000 or more","$100000 or more","$25000 to $99999","$100000 or more","$100000 or more","$25000 to $99999","$100000 or more","11132577805969","No","Chain Location","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Pico De Gallo","","111 S Leona St","111","S","Leona","St","","San Antonio","TX","78207","4417","Ruben Cortez","Ruben","","Cortez","President","Male","167","699","$6,511,000","111 S Leona St","111","S","Leona","St","","San Antonio","TX","78207","4417","(210) 225-6060","(210) 225-7344","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4254249","-98.5028332","","Restaurants","Branch","","No","5812001","Restaurants","5411001","Grocery Stores","5812006","Caterers","5812011","Mexican Restaurants","5411020","Ethnic Grocery Stores","","","","","","","","","","","722511","Full-Service Restaurants","445110","Supermarkets and Other Grocery (except Convenience) Stores","722320","Caterers","","","","","","","","","","","","","","","No","100 to 499","Private","No","50000 or more","www.picodegallo.com","No","1941","","","","100","23839382","23839382","22554625","21698120","0.0","5.7","3.95","167","167","158","152","0.0","5.7","3.95","Ruben","Cortez","President","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$25000 to $99999","$100000 or more","11132545234445","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","H-E-B LP","","3485 Fredericksburg Rd","3485","","Fredericks","Rd","","San Antonio","TX","78201","3848","Pamela Oconnor","Pamela","Mathews","Oconnor","Controller","Female","40","45,000","$3,646,000","3485 Fredericksburg Rd","3485","","Fredericks","Rd","","San Antonio","TX","78201","3848","(210) 731-6168","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4754652","-98.5388877","","Grocery Stores","Branch","","No","5411001","Grocery Stores","5912005","Health Care Products Stores","5963037","Household Products","5441001","Candy Nut & Confectionery Stores","5431001","Fruit & Vegetable Markets","5451001","Dairy Products Stores","5411015","Food Markets","5461001","Bakeries","5912003","Drug Stores","5411003","Supermarkets","445110","Supermarkets and Other Grocery (except Convenience) Stores","459999","All Other Miscellaneous Retailers","445292","Confectionery and Nut Stores","445230","Fruit and Vegetable Markets","445298","All Other Specialty Food Retailers","311811","Retail Bakeries","456110","Pharmacies and Drug Retailers","","","","","","","No","10 to 24","Private","No","10000 to 49999","www.heb.com","No","1905","","","","95","8716890","8716890","8281046","7409357","0.0","5.26","11.76","40","40","38","34","0.0","5.26","11.76","Pamela","Oconnor","Controller","Female","Accounting & Finance","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$25000 to $99999","$20000 to $49999","$25000 to $99999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$50000 to $99999","11140001913369","No","Chain Location","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Hildebrand Grocery","","1502 W Hildebrand Ave","1502","W","Hildebrand","Ave","","San Antonio","TX","78201","4135"," ","","","","","","40","","$3,221,000","1502 W Hildebrand Ave","1502","W","Hildebrand","Ave","","San Antonio","TX","78201","4135","(210) 738-0411","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4661585","-98.5191525","","Grocery Stores","","","No","5411001","Grocery Stores","","","","","","","","","","","","","","","","","","","445110","Supermarkets and Other Grocery (except Convenience) Stores","","","","","","","","","","","","","","","","","","","No","10 to 24","Private","Yes","10000 to 49999","","No","2019","","","","80","3221000","0","0","0","0.0","0.0","0.0","40","","","","0.0","0.0","0.0","","","","","","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$25000 to $99999","$20000 to $49999","$25000 to $99999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$50000 to $99999","11140015106525","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Balcones Food Store","","3309 Hillcrest Dr","3309","","Hillcrest","Dr","","San Antonio","TX","78201","7045"," ","","","","","","40","","$3,221,000","3309 Hillcrest Dr","3309","","Hillcrest","Dr","","San Antonio","TX","78201","7045","(210) 437-0008","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4917286","-98.5546782","","Grocery Stores","","","No","5411001","Grocery Stores","","","","","","","","","","","","","","","","","","","445110","Supermarkets and Other Grocery (except Convenience) Stores","","","","","","","","","","","","","","","","","","","No","10 to 24","Private","Yes","10000 to 49999","","No","2019","","","","80","3221000","0","0","0","0.0","0.0","0.0","40","","","","0.0","0.0","0.0","","","","","","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$25000 to $99999","$20000 to $49999","$25000 to $99999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$50000 to $99999","11140014735525","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","H-E-B LP","","516 S Flores St","516","S","Flores","St","","San Antonio","TX","78204","1217","Francisco Sauceda","Francisco","","Sauceda","Other Contacts","Male","40","45,000","$3,130,000","516 S Flores St","516","S","Flores","St","","San Antonio","TX","78204","1217","(210) 444-1879","N/A","(800) 432-3113","Bexar","500000 or more","San Antonio-New Braunfels TX","29.418986","-98.496491","","Grocery Stores","Branch","","No","5411001","Grocery Stores","5912005","Health Care Products Stores","5963037","Household Products","5441001","Candy Nut & Confectionery Stores","5431001","Fruit & Vegetable Markets","5451001","Dairy Products Stores","5411015","Food Markets","5461001","Bakeries","5912003","Drug Stores","5411003","Supermarkets","445110","Supermarkets and Other Grocery (except Convenience) Stores","459999","All Other Miscellaneous Retailers","445292","Confectionery and Nut Stores","445230","Fruit and Vegetable Markets","445298","All Other Specialty Food Retailers","311811","Retail Bakeries","456110","Pharmacies and Drug Retailers","","","","","","","No","10 to 24","Private","No","10000 to 49999","www.heb.com","No","1905","","","","95","8716890","8716890","7845201","8716890","0.0","11.11","-10.0","40","40","36","40","0.0","11.11","-10.0","Francisco","Sauceda","Other Contacts","Male","Marketing & Advertising","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$25000 to $99999","$20000 to $49999","$25000 to $99999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$50000 to $99999","11132551743420","No","Chain Location","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","H-E-B LP","","641 S Flores St","641","S","Flores","St","","San Antonio","TX","78204","1220","Hanna Peterson","Hanna","","Peterson","Partner","Female","40","45,000","$3,130,000","641 S Flores St","641","S","Flores","St","","San Antonio","TX","78204","1220","(210) 227-4358","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4174874","-98.4982167","","Grocery Stores","Branch","","No","5411001","Grocery Stores","5912005","Health Care Products Stores","5963037","Household Products","5441001","Candy Nut & Confectionery Stores","5431001","Fruit & Vegetable Markets","5451001","Dairy Products Stores","5411015","Food Markets","5461001","Bakeries","5912003","Drug Stores","5411003","Supermarkets","445110","Supermarkets and Other Grocery (except Convenience) Stores","459999","All Other Miscellaneous Retailers","445292","Confectionery and Nut Stores","445230","Fruit and Vegetable Markets","445298","All Other Specialty Food Retailers","311811","Retail Bakeries","456110","Pharmacies and Drug Retailers","","","","","","","No","10 to 24","Private","No","10000 to 49999","www.heb.com","No","1905","","","","95","8716890","8716890","8063123","0","0.0","8.11","0.0","40","40","37","","0.0","8.11","0.0","Hanna","Peterson","Partner","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$25000 to $99999","$20000 to $49999","$25000 to $99999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$50000 to $99999","11140014176572","No","Chain Location","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","H-E-B LP","","1601 Nogalitos St","1601","","Nogalitos","St","","San Antonio","TX","78204","2427","Mikayla Briggs","Mikayla","","Briggs","Partner","Female","40","45,000","$3,130,000","1601 Nogalitos St","1601","","Nogalitos","St","","San Antonio","TX","78204","2427","(210) 212-2600","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.397725","-98.514767","","Grocery Stores","Branch","","No","5411001","Grocery Stores","5912005","Health Care Products Stores","5963037","Household Products","5441001","Candy Nut & Confectionery Stores","5431001","Fruit & Vegetable Markets","5451001","Dairy Products Stores","5411015","Food Markets","5461001","Bakeries","5912003","Drug Stores","5411003","Supermarkets","445110","Supermarkets and Other Grocery (except Convenience) Stores","459999","All Other Miscellaneous Retailers","445292","Confectionery and Nut Stores","445230","Fruit and Vegetable Markets","445298","All Other Specialty Food Retailers","311811","Retail Bakeries","456110","Pharmacies and Drug Retailers","","","","","","","No","10 to 24","Private","No","10000 to 49999","www.heb.com","No","1905","","","","95","871689","871689","435845","871689","0.0","100.0","-50.0","4","4","2","4","0.0","100.0","-50.0","Mikayla","Briggs","Partner","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","$25000 to $99999","$20000 to $49999","$25000 to $99999","$10000 to $24999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$50000 to $99999","11140008903837","No","Chain Location","","AtoZDatabases",
