Source,Date,Obsolescence Date,Business Name,Legal Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,EIN,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,SIC03,SIC03.Description,SIC04,SIC04.Description,SIC05,SIC05.Description,SIC06,SIC06.Description,SIC07,SIC07.Description,SIC08,SIC08.Description,SIC09,SIC09.Description,SIC10,SIC10.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,NAICS 5,NAICS 5 Description,NAICS 6,NAICS 6 Description,NAICS 7,NAICS 7 Description,NAICS 8,NAICS 8 Description,NAICS 9,NAICS 9 Description,NAICS 10,NAICS 10 Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2020 Revenue/Yr,2019 Revenue/Yr,2018 Revenue/Yr,2017 Revenue/Yr,2019 % Sales Growth,2018 % Sales Growth,2017 % Sales Growth,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2019 % Employee Growth,2018 % Employee Growth,2017 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Executive Department 1,Executive First Name 2,Executive Last Name 2,Executive Title 2,Executive Gender 2,Executive Department 2,Executive First Name 3,Executive Last Name 3,Executive Title 3,Executive Gender 3,Executive Department 3,Executive First Name 4,Executive Last Name 4,Executive Title 4,Executive Gender 4,Executive Department 4,Executive First Name 5,Executive Last Name 5,Executive Title 5,Executive Gender 5,Executive Department 5,Executive First Name 6,Executive Last Name 6,Executive Title 6,Executive Gender 6,Executive Department 6,Executive First Name 7,Executive Last Name 7,Executive Title 7,Executive Gender 7,Executive Department 7,Executive First Name 8,Executive Last Name 8,Executive Title 8,Executive Gender 8,Executive Department 8,Executive First Name 9,Executive Last Name 9,Executive Title 9,Executive Gender 9,Executive Department 9,Executive First Name 10,Executive Last Name 10,Executive Title 10,Executive Gender 10,Executive Department 10,Executive First Name 11,Executive Last Name 11,Executive Title 11,Executive Gender 11,Executive Department 11,Executive First Name 12,Executive Last Name 12,Executive Title 12,Executive Gender 12,Executive Department 12,Executive First Name 13,Executive Last Name 13,Executive Title 13,Executive Gender 13,Executive Department 13,Executive First Name 14,Executive Last Name 14,Executive Title 14,Executive Gender 14,Executive Department 14,Executive First Name 15,Executive Last Name 15,Executive Title 15,Executive Gender 15,Executive Department 15,Executive First Name 16,Executive Last Name 16,Executive Title 16,Executive Gender 16,Executive Department 16,Executive First Name 17,Executive Last Name 17,Executive Title 17,Executive Gender 17,Executive Department 17,Executive First Name 18,Executive Last Name 18,Executive Title 18,Executive Gender 18,Executive Department 18,Executive First Name 19,Executive Last Name 19,Executive Title 19,Executive Gender 19,Executive Department 19,Executive First Name 20,Executive Last Name 20,Executive Title 20,Executive Gender 20,Executive Department 20,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business,Franchise Type,Holding Parent Name,Source ,
"AtoZDatabases","03/02/2022","09/02/2022","Methodist Hospital Texsan","","6700 W Interstate 10","6700","W","Interstate","","","San Antonio","TX","78201","2009","Amanda Wood","Amanda","","Wood","Executive Officer","Male","300","2,575","$34,836,000","6700 W Interstate 10","6700","W","Interstate","","","San Antonio","TX","78201","2009","(210) 736-6700","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4903199153177","-98.5466702753014","","Hospitals","Branch","","No","8062001","Hospitals","8011001","Physicians & Surgeons","8049001","Health Practitioners","8322008","Rehabilitation Services","8011161","Internal Medicine","8011141","Emergency Medicine","8011189","Orthopedic Surgery","8011140","Emergency Medical Services","8049097","Therapy","8011190","Orthopedic Surgery of the Spine","622110","General Medical and Surgical Hospitals","621111","Offices of Physicians (except Mental Health Specialists)","621399","Offices of All Other Miscellaneous Health Practitioners","624190","Other Individual and Family Services","","","","","","","","","","","","","No","500 or more","Private","No","50000 or more","www.sahealth.com","No","1988","","","","0","50276772","50276772","51785075","49438826","0.0","-2.91","4.75","300","300","309","295","0.0","-2.91","4.75","Amanda","Wood","Executive Officer","Male","Administration & Operations","Suraj","Maraj","Executive Officer","Male","Administration & Operations","F","Gregorio","Executive Officer","Unknown","Administration & Operations","Felipe","Gregorio","Executive Officer","Male","Administration & Operations","Garcia","Annie","Executive Officer","Male","Administration & Operations","Janet","Mirza","Executive Officer","Female","Administration & Operations","Joe","Perez","Executive Officer","Male","Administration & Operations","Ladarick","Lucas","Executive Officer","Unknown","Strategic Planning & Business Development","Allisa","Platz","Manager","Female","Administration & Operations","Catherine","Lara","Manager","Female","Administration & Operations","Cynthia","Randall","Manager","Female","Administration & Operations","Andrew","Zamora","Manager","Male","Purchasing","Chris","Smith","Other Contacts","Unknown","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100000 or more","","$100000 or more","","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","11132546689622","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Central Cardiovascular Inst of San Antonio","Central Cardiovascular-San Ant","6800 W Interstate 10 Ste 200","6800","W","Interstate","","","San Antonio","TX","78201","2041","Evelyn Sosa","Evelyn","","Sosa","Executive Officer","Female","165","","$10,467,000","6800 W Interstate 10 Ste 200","6800","W","Interstate","","","San Antonio","TX","78201","2041","(210) 271-3203","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.490499","-98.547563","","Physicians & Surgeons","","","No","8011001","Physicians & Surgeons","8322124","Heart Disease Information & Treatment","8011161","Internal Medicine","8011115","Cardiovascular Disease","","","","","","","","","","","","","621111","Offices of Physicians (except Mental Health Specialists)","624190","Other Individual and Family Services","","","","","","","","","","","","","","","","","No","100 to 499","Private","No","10000 to 49999","","No","2011","","","","0","30281351","30281351","30097828","31015444","0.0","0.61","-2.96","165","165","164","169","0.0","0.61","-2.96","Evelyn","Sosa","Executive Officer","Female","Accounting & Finance","Debbie","Gibbs","Manager","Female","Human Resources","Steve","Burton","Manager","Male","Information Technology","Linda","Sherman","Manager","Female","Purchasing","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100000 or more","","$100000 or more","","$100000 or more","$100000 or more","$100000 or more","$25000 to $99999","$100000 or more","11132546709007","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Texas Diabetes Institute","","527 N Leona St","527","N","Leona","St","","San Antonio","TX","78207","","Roberta Washburn","Roberta","","Washburn","Educator","Female","200","","$6,381,000","","","","","","","","","","","(210) 358-3757","(210) 358-7406","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4317863726719","-98.502096327053","","Diabetes Information Centers","","","No","8322077","Diabetes Information Centers","","","","","","","","","","","","","","","","","","","624190","Other Individual and Family Services","","","","","","","","","","","","","","","","","","","No","100 to 499","Private","No","10000 to 49999","www.universityhealthsystem.com","No","2010","","","","0","13290914","13290914","13623187","14154823","0.0","-2.44","-3.76","200","200","205","213","0.0","-2.44","-3.76","Roberta","Washburn","Educator","Female","Health & Medical","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100000 or more","","$100000 or more","","$100000 or more","$100000 or more","$100000 or more","$100000 or more","$100000 or more","11132547594782","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Community First Health Plans","","1410 Guadalupe St Ste 222","1410","","Guadalupe","St","","San Antonio","TX","78207","5526","Stephen Bishop","Stephen","","Bishop","Manager","Male","167","","$6,163,000","1410 Guadalupe St Ste 222","1410","","Guadalupe","St","","San Antonio","TX","78207","5526","(210) 227-2347","(210) 358-6170","(800) 434-2347","Bexar","500000 or more","San Antonio-New Braunfels TX","29.418289","-98.516013","","Health Maintenance Organizations","","","No","8099023","Health Maintenance Organizations","6324001","Hospital & Medical Insurance Plan Carriers","8322090","Health Programs Information & Referral Services","6324006","Health Insurance Plan Carriers","","","","","","","","","","","","","621491","HMO Medical Centers","524114","Direct Health and Medical Insurance Carriers","624190","Other Individual and Family Services","","","","","","","","","","","","","","","No","100 to 499","Private","No","10000 to 49999","www.cfhp.com","No","2004","","","","0","23557630","23557630","24827202","24686139","0.0","-5.11","0.57","167","167","176","175","0.0","-5.11","0.57","Stephen","Bishop","Manager","Male","Information Technology","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100000 or more","","$100000 or more","","$100000 or more","$100000 or more","$100000 or more","$25000 to $99999","$100000 or more","11132547188070","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Baptist Health System Pregnancy Testing Center","","3703 Fredericksburg Rd","3703","","Fredericks","Rd","","San Antonio","TX","78201","3216","Gary Whittington","Gary","","Whittington","Chief Financial Officer","Male","35","","$1,916,000","3703 Fredericksburg Rd","3703","","Fredericks","Rd","","San Antonio","TX","78201","3216","(210) 785-4924","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4798747","-98.5420043","","Family Planning Information Centers","","","No","8322053","Family Planning Information Centers","","","","","","","","","","","","","","","","","","","624190","Other Individual and Family Services","","","","","","","","","","","","","","","","","","","No","25 to 99","Private","Yes","5000 to 9999","www.baptisthealthsystem.com","No","2010","","","","0","863909","863909","1063273","1196182","0.0","-18.75","-11.11","13","13","16","18","0.0","-18.75","-11.11","Gary","Whittington","Chief Financial Officer","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","","$20000 to $49999","","$25000 to $99999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$20000 to $49999","11132546689618","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Sa Live Ch 12","","800 Dolorosa","800","","Dolorosa","","","San Antonio","TX","78207","4559","Katie Fellows","Katie","Meyers","Fellows","Executive Officer","Female","64","","$1,909,000","800 Dolorosa","800","","Dolorosa","","","San Antonio","TX","78207","4559","N/A","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4239153","-98.4988421","","Individual & Family Social Services","","","No","8322001","Individual & Family Social Services","","","","","","","","","","","","","","","","","","","624190","Other Individual and Family Services","","","","","","","","","","","","","","","","","","","No","100 to 499","Private","No","10000 to 49999","www.ksat.com","No","2021","","","","0","1909000","0","0","0","0.0","0.0","0.0","64","","","","0.0","0.0","0.0","Katie","Fellows","Executive Officer","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","","$50000 to $99999","","$25000 to $99999","$25000 to $99999","$25000 to $99999","$25000 to $99999","$50000 to $99999","11140021797147","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Adoption Angels","","1511 Fredericksburg Rd","1511","","Fredericks","Rd","","San Antonio","TX","78201","5030","Lore Carvalho","Lore","","Carvalho","Owner","Female","19","","$1,280,000","1511 Fredericksburg Rd","1511","","Fredericks","Rd","","San Antonio","TX","78201","5030","(210) 227-2229","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.458759","-98.5207894","","Individual & Family Social Services","","","No","8322001","Individual & Family Social Services","8322016","Adoption Services","","","","","","","","","","","","","","","","","624190","Other Individual and Family Services","624110","Child and Youth Services","","","","","","","","","","","","","","","","","No","25 to 99","Private","Yes","1000 to 4999","www.adoptionangels.com","Yes","2013","","","","0","1262637","1262637","1329091","1262637","0.0","-5.0","5.26","19","19","20","19","0.0","-5.0","5.26","Lore","Carvalho","Owner","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","","$7500 to $19999","","$10000 to $24999","$10000 to $24999","$10000 to $24999","$10000 to $24999","$7500 to $19999","11132541528797","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Executive Home Care","","1131 Babcock Rd Ste 125","1131","","Babcock","Rd","","San Antonio","TX","78201","6944","Valerie Rueda","Valerie","","Rueda","Owner","Female","41","45","$1,166,000","1131 Babcock Rd Ste 125","1131","","Babcock","Rd","","San Antonio","TX","78201","6944","(210) 734-4343","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.484134","-98.557307","","Home Health Care Services","Branch","","No","8082001","Home Health Care Services","8082004","Home Managing Services","7363020","Medical Staff Relief","8059001","Nursing & Personal Care","8361001","Residential Care","8322001","Individual & Family Social Services","8322039","Homemakers Services","8322114","Elderly Companion Services","","","","","621610","Home Health Care Services","561320","Temporary Help Services","623110","Nursing Care Facilities (Skilled Nursing Facilities)","623990","Other Residential Care Facilities","624190","Other Individual and Family Services","","","","","","","","","","","No","25 to 99","Private","Yes","5000 to 9999","www.executivehomecare.com","Yes","2020","","","","0","1856135","860160","0","0","115.79","0.0","0.0","41","19","","","115.79","0.0","0.0","Valerie","Rueda","Owner","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25000 to $99999","","$20000 to $49999","","$25000 to $99999","$25000 to $99999","$25000 to $99999","$10000 to $24999","$20000 to $49999","11140007184691","No","True Franchise","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Lord's Pantry Leona","","121 S Leona St","121","S","Leona","St","","San Antonio","TX","78207","","Frances Thompson","Frances","","Thompson","President","Unknown","22","","$1,053,000","","","","","","","","","","","(903) 344-3028","N/A","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4258203626608","-98.5027620402645","","Social Services & Welfare Organizations","","","No","8322064","Social Services & Welfare Organizations","","","","","","","","","","","","","","","","","","","624190","Other Individual and Family Services","","","","","","","","","","","","","","","","","","","No","25 to 99","Private","Yes","1000 to 4999","","No","2010","","","","0","1462001","1462001","1129728","1262637","0.0","29.41","-10.53","22","22","17","19","0.0","29.41","-10.53","Frances","Thompson","President","Unknown","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","","$20000 to $49999","","$10000 to $24999","$25000 to $99999","$10000 to $24999","$10000 to $24999","$20000 to $49999","11132542419802","No","","","AtoZDatabases",
"AtoZDatabases","03/02/2022","09/02/2022","Executive Profiles","","419 S Main Ave Ste 301","419","S","Main","Ave","","San Antonio","TX","78204","1100","Fred Hernandez","Fred","Z","Hernandez","Owner","Male","16","","$984,000","419 S Main Ave Ste 301","419","S","Main","Ave","","San Antonio","TX","78204","1100","(210) 227-2707","(210) 225-7751","N/A","Bexar","500000 or more","San Antonio-New Braunfels TX","29.4207608","-98.4948378","","Counselors & Counseling Services","","","No","8322002","Counselors & Counseling Services","","","","","","","","","","","","","","","","","","","624190","Other Individual and Family Services","","","","","","","","","","","","","","","","","","","No","25 to 99","Private","Yes","1000 to 4999","www.sanantonio.gov","No","2001","","","","0","132909","132909","132909","199364","0.0","0.0","-33.33","2","2","2","3","0.0","0.0","-33.33","Fred","Hernandez","Owner","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5000 to $24999","","$7500 to $19999","","$10000 to $24999","$10000 to $24999","$10000 to $24999","$5000 to $9999","$7500 to $19999","11132541505991","No","","","AtoZDatabases",
